AssetManager,SponsorFirm,,MorningstarStrategyId,MorningstarClass,,,SmaStrategy,SmaProductType,ManagerClass,,TotalAccounts,Smry Trns Typ Txt,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018
,,,,,,,,,Masters and Select: Model-Only,,,Gross Flows,19616736,34622304,5851348,8483919,14629736,11281915,13832731,9172878,13817702
,,,,,,,,,,,,Redemptions,-10284945,-5387594,-6319509,-5621044,-18891954,-7596940,-10251359,-13420959,-7918541
,,,,,,,,,Masters and Select: Model-Only Total,,603,Net Cash Flows,9331791,29234710,-468161,2862875,-4262218,3684975,3581372,-4248081,5899161
,,,,,,,,,,,,Assets,167720426,202225290,210473772,214234671,225784111,240242317,257074670,265320378,269949249
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0W,US SA Small Value,,,SMA Small-Cap Value Equity,SMA Model-Only Contract,Diversified Managed Allocations (DMA),,,Gross Flows,12530424,423914,874173,891306,1635225,832162,679960,2558776,1606921
,,,,,,,,,,,,Redemptions,-764192,-1169072,-2564898,-770618,-2691175,-1191417,-964819,-1933217,-1121094
,,,,,,,,,Diversified Managed Allocations (DMA) Total,,158,Net Cash Flows,11766232,-745158,-1690725,120688,-1055950,-359255,-284859,625559,485827
,,,,,,,,,,,,Assets,18500520,18389278,18499664,20610478,20943607,20562697,20987827,22836725,22975604
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Masters and Select: Model-Only,,,Gross Flows,16778497,881245,232633,384005,7748196,978641,546843,3295526,126634
,,,,,,,,,,,,Redemptions,-1814525,-2511898,-2624363,-372347,-5738291,-1726200,-1772887,-6659751,-1824201
,,,,,,,,,Masters and Select: Model-Only Total,,76,Net Cash Flows,14963972,-1630653,-2391730,11658,2009905,-747559,-1226044,-3364225,-1697567
,,,,,,,,,,,,Assets,31263538,30697672,30460468,33887761,36118226,34769051,34730401,32561929,30413926
,,,,,,,,,,,,,,,,,,,,,
,,,,US SA Preferred Stock,,,SMA Spectrum Offshore Preferred Securities,SMA Dual Contract,Network,,,Gross Flows,0,0,0,0,0,718613.49,150000,0,0
,,,,,,,,,Network Total,,3,Net Cash Flows,0,0,0,0,0,718613.49,150000,0,0
,,,,,,,,,,,,Assets,,,,,,727496.47,881845.51,880120.38,874681.41
,,,,,,,,,,,,,,,,,,,,,
,,,F00000WKR5,US SA Preferred Stock,,,SMA Spectrum Preferred Capital Securities,SMA Model-Only Contract,Diversified Managed Allocations (DMA),,,Gross Flows,8087350,11339547,7348376,23430653,5791335,5301218,11307930,8888856,5970262
,,,,,,,,,,,,Redemptions,-5164091,-3460837,-10040896,-18765252,-7294467,-5592382,-7420465,-5447172,-12968617
,,,,,,,,,Diversified Managed Allocations (DMA) Total,,492,Net Cash Flows,2923259,7878710,-2692520,4665401,-1503132,-291164,3887465,3441684,-6998355
,,,,,,,,,,,,Assets,83989569,95528915,95055531,96858168,100805285,105446893,111705731,115787483,108390796
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Masters and Select: Model-Only,,,Gross Flows,28761576,26541585,100645105,37885281,7405791,12747359,17452301,8359246,8847431
,,,,,,,,,,,,Redemptions,-6176286,-8067771,-11089414,-43002164,-29791316,-20110992,-16794739,-103195296,-16729376
,,,,,,,,,Masters and Select: Model-Only Total,,938,Net Cash Flows,22585290,18473814,89555691,-5116883,-22385525,-7363633,657562,-94836050,-7881945
,,,,,,,,,,,,Assets,313023738,343168130,435946948,412775757,410272894,417853573,422336618,329463541,317421152
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Dual Contract,Network,,,Gross Flows,6136960,1105542,800000,590575,59000,0,50672.5,483807.38,0
,,,,,,,,,,,,Redemptions,-6706.93,-750116.37,-7040940.28,-6218153.4,-5698.56,-18911.41,-3163931.17,-40802.69,-997879.82
,,,,,,,,,Network Total,,6,Net Cash Flows,6130253.07,355425.63,-6240940.28,-5627578.4,53301.44,-18911.41,-3113258.67,443004.69,-997879.82
,,,,,,,,,,,,Assets,18816618.75,19922821.82,13739155.56,7101129.12,7556308.81,7799979.64,4724314.44,5178725.99,4115775.16
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Dual Contract,Network,,,Gross Flows,470416.41,0,450000,250000,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-26460.78,-25989.49,-24100.67,-24231.77,-23904.51,-1659950.13,-1485.06,-1436.95,-1063322.74
,,,,,,,,,Network Total,,2,Net Cash Flows,443955.63,-25989.49,425899.33,225768.23,-23904.51,-1659950.13,-1485.06,-1436.95,-1063322.74
,,,,,,,,,,,,Assets,2761889.03,2850612.63,3285145.46,3307638.13,3473590.15,1895295.67,1902072.98,1902670.85,806960.5
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Model-Only Contract,Diversified Managed Allocations (DMA),,,Gross Flows,1161431,1276951,7141582,11318114,5094815,3224038,2390833,4173025,4118236
,,,,,,,,,,,,Redemptions,-31631,-393677,-128092,-6332137,-2540398,-2186986,-228663,-2217475,-7112004
,,,,,,,,,Diversified Managed Allocations (DMA) Total,,77,Net Cash Flows,1129800,883274,7013490,4985977,2554417,1037052,2162170,1955550,-2993768
,,,,,,,,,,,,Assets,4677671,5768126,13014409,17556822,21117257,22981056,25322486,27931157,24653987
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Masters and Select: Model-Only,,,Gross Flows,7840221,11411241,12674624,4967556,960486,1985962,12358178,4477856,3387182
,,,,,,,,,,,,Redemptions,-48215,-385265,-1986298,-4013792,-1983006,-2136049,-8332585,-3861480,-2349565
,,,,,,,,,Masters and Select: Model-Only Total,,152,Net Cash Flows,7792006,11025976,10688326,953764,-1022520,-150087,4025593,616376,1037617
,,,,,,,,,,,,Assets,21205736,33433937,44153177,42514270,43851837,45118508,49344294,50084269,50573426
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Single Contract,Diversified Managed Allocations (DMA single),,,Gross Flows,5075599.28,10042522.13,8513802.99,4407341.68,7434315.42,5492480.66,6555621.63,3693500.33,7436921.27
,,,,,,,,,,,,Redemptions,-2789466.27,-3328979.15,-2206444.29,-4189824.34,-4591170.97,-1680121.8,-2529341.79,-2501377.24,-3052937.41
,,,,,,,,,Diversified Managed Allocations (DMA single) Total,,406,Net Cash Flows,2286133.01,6713542.98,6307358.7,217517.34,2843144.45,3812358.86,4026279.84,1192123.09,4383983.86
,,,,,,,,,,,,Assets,40976426.78,50759050.62,56142016.86,54193809.21,57708586.98,62601838.06,67196731.08,70554485.82,71467419.57
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Masters and Select,,,Gross Flows,4921949.33,4087399.04,4407298.36,2290183.68,2370649.29,3548314,3813299.74,1685165,23099230.67
,,,,,,,,,,,,Redemptions,-1483421.35,-2357402.6,-6729845.15,-1804005.72,-3538258.63,-6026255.52,-4904225.26,-2453635.86,-7059000.29
,,,,,,,,,Masters and Select Total,,263,Net Cash Flows,3438527.98,1729996.44,-2322546.79,486177.96,-1167609.34,-2477941.52,-1090925.52,-768470.86,16040230.38
,,,,,,,,,,,,Assets,62189648.16,67238388.02,65335937.64,63352297.7,63817178.96,61687208.08,61300241.56,62534484.17,74917532.27
,,,,,,,,,,,,,,,,,,,,,
,Wells Fargo Advisors Total,,,,,,,,,,,Overall Net Cash Flows,91602411.67,86660216.44,167523817.9,55801383.28,76002221.78,22077588.74,27689817.56,-75669206.36,6772632.22
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Wells Fargo Investments,,,,,,SMA CCI Mid Cap Growth,SMA Single Contract,Strategic,,,Gross Flows,0,643696,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-2476.36,-227221.51,-2318.72,-2216822.88,-1326481,0,0,0,0
,,,,,,,,,Strategic Total,,-,Net Cash Flows,-2476.36,416474.49,-2318.72,-2216822.88,-1326481,0,0,0,0
,,,,,,,,,,,,Assets,2779782.52,3357704.28,3502079.26,1244412.47,0,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Single Contract,Strategic,,,Gross Flows,42271330.36,27443054.01,40715255.93,24978201.98,27362163.73,28676611.86,24929846.17,23080143.22,36351237.58
,,,,,,,,,,,,Redemptions,-22125025.8,-23966084.37,-20309128.09,-17944082.8,-19554387.04,-28086617.23,-19442603.98,-18076264.18,-19562755.67
,,,,,,,,,Strategic Total,,1141,Net Cash Flows,20146304.56,3476969.64,20406127.84,7034119.18,7807776.69,589994.63,5487242.19,5003879.04,16788481.91
,,,,,,,,,,,,Assets,459048435.6,476605013.8,519086824.2,528134091.2,574843861.2,607815290.1,648205040,685856890.2,700284105.4
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0W,US SA Small Value,,,SMA Small-Cap Value Equity,SMA Single Contract,Strategic,,,Gross Flows,0,0,0,0,0,0,249000,0,108000
,,,,,,,,,Strategic Total,,2,Net Cash Flows,0,0,0,0,0,0,249000,0,108000
,,,,,,,,,,,,Assets,,,,,,,256854.2,267113.39,371876.17
,,,,,,,,,,,,,,,,,,,,,
,,,F00000WKR5,US SA Preferred Stock,,,SMA Spectrum Preferred Capital Securities,SMA Single Contract,Strategic,,,Gross Flows,0,0,13299303.31,16663230.33,7458405.26,6971845.33,3518476.91,4515931.2,4231029.52
,,,,,,,,,,,,Redemptions,0,0,-737104.76,-6204461.13,-2143909.08,-14077186.91,-1400834.25,-4200770.67,-2025855.52
,,,,,,,,,Strategic Total,,176,Net Cash Flows,0,0,12562198.55,10458769.2,5314496.18,-7105341.58,2117642.66,315160.53,2205174
,,,,,,,,,,,,Assets,,,94109856.46,98697675.3,107198973.2,102055152,103490157.4,103267145.7,103695138
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Single Contract,Strategic,,,Gross Flows,2597297.33,19230167.7,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-1197791.08,-419546.58,0,0,0,0,0,0,0
,,,,,,,,,Strategic Total,,-,Net Cash Flows,1399506.25,18810621.12,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,61456580.69,81954912.81,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Single Contract,Strategic,,,Gross Flows,2966715.34,25046273.77,27920378.62,11238689.88,4370198.03,13876976.83,11418508.83,6302794.72,11487935.64
,,,,,,,,,,,,Redemptions,-23789.97,-5110907.09,-1128511.33,-7290830.76,-6712152.11,-2944092.22,-3040060.21,-16587246.45,-9347665.31
,,,,,,,,,Strategic Total,,135,Net Cash Flows,2942925.37,19935366.68,26791867.29,3947859.12,-2341954.08,10932884.61,8378448.62,-10284451.73,2140270.33
,,,,,,,,,,,,Assets,48471056.45,69732004.82,96239375.58,93669315.44,97165922.07,111088433.8,119744811.1,108487693.3,109610036.6
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Single Contract,Strategic,,,Gross Flows,25008006.21,33631034.07,30198753.27,13604601.34,30028456.16,11096972.65,12941032.14,12187879.77,36163270.45
,,,,,,,,,,,,Redemptions,-13070536.67,-5986985.23,-4419609.32,-23939516.06,-17844438.01,-15764730.79,-15311415.74,-18062373.19,-31027001.01
,,,,,,,,,Strategic Total,,593,Net Cash Flows,11937469.54,27644048.84,25779143.95,-10334914.72,12184018.15,-4667758.14,-2370383.6,-5874493.42,5136269.44
,,,,,,,,,,,,Assets,208402630.4,247463104.4,268293987.7,246149040.3,260316283.4,259608054.1,259162451.7,260582908.7,251801142.1
,,,,,,,,,,,,,,,,,,,,,
,Wells Fargo Investments Total,,,,,,,,,,,Overall Net Cash Flows,36423729.36,70283480.77,85537018.91,8889009.9,21637855.94,-250220.48,13861949.87,-10839905.58,26378195.68
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"WrapManager, Inc.",,F00000XDN8,US SA Mid-Cap Blend,,,SMA Edge Mid-Cap Core,SMA Model-Only Contract,Managed Account Platform,,,Gross Flows,0,0,0,0,0,76568.12,91533.58,38743.16,285327.79
,,,,,,,,,Managed Account Platform Total,,10,Net Cash Flows,0,0,0,0,0,76568.12,91533.58,38743.16,285327.79
,,,,,,,,,,,,Assets,,,,,,77117.33,174372.85,217722.74,546806
,,,,,,,,,,,,,0,0,0,0,0,76568.12,91533.58,38743.16,285327.79
,"WrapManager, Inc. Total",,,,,,,,,,,Overall Net Cash Flows,0,0,0,0,0,76568.12,91533.58,38743.16,285327.79
,Grand Total,,,,,,,,,,,Grand Total Net Cash Flows,313840089.6,539640791.8,722236733.6,175836079.3,409240367,281726024.6,216744327.7,102987333.3,99750438.79
